id,host_id,host_is_superhost,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,availability_365,minimum_nights,room_type,accommodates,bedrooms,beds,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,avg_air_quality,days_as_host,bathrooms,short_term
30253315.0,812128,1,9,1,1,19,District 12,165,30,Entire home/apt,4,2.0,2.0,75.0,20,0.33,5.0,4.95,4.8,5.0,5.0,4.8,5.0,1.7204337899543378,4776,1.0,0
30268359.0,85689123,1,3,1,1,3,District 6,281,1,Entire home/apt,7,3.0,4.0,486.0,116,1.72,4.94,4.97,4.93,4.99,4.98,4.91,4.91,1.7320776255707762,2937,2.0,1
30295069.0,10259524,1,4,1,1,5,District 19,307,1,Entire home/apt,10,3.0,7.0,221.0,593,8.8,4.93,4.94,4.89,4.97,4.98,4.56,4.89,1.7320776255707762,3909,2.5,1
30317287.0,10259524,1,4,1,1,5,District 5,325,1,Entire home/apt,8,3.0,4.0,153.0,670,9.88,4.87,4.91,4.86,4.99,4.96,4.75,4.84,1.7320776255707762,3909,1.0,1
30324509.0,106160102,0,1,1,1,1,District 16,89,30,Entire home/apt,12,3.0,0.0,,19,0.28,4.89,4.95,4.74,4.79,4.95,4.95,4.95,1.7320776255707762,2804,2.5,0
30346059.0,32722397,1,1,1,1,1,District 17,82,1,Private room,3,1.0,1.0,111.0,163,2.58,4.96,4.96,4.96,4.98,5.0,4.86,4.92,1.7320776255707762,3382,1.0,1
30389810.0,187200206,1,6,1,1,6,District 17,179,1,Entire home/apt,4,2.0,0.0,,179,2.65,4.98,4.97,4.98,4.93,4.95,4.92,4.9,1.7320776255707762,2291,1.5,1
30392811.0,119925844,1,1,1,1,1,District 25,118,4,Entire home/apt,10,3.0,6.0,295.0,158,2.37,4.98,4.95,4.9,4.99,5.0,4.91,4.94,1.7320776255707762,2709,3.0,1
30393490.0,206929251,1,21,1,1,21,District 6,326,2,Entire home/apt,12,3.0,0.0,,68,1.07,4.91,4.9,4.81,4.9,4.88,4.94,4.76,1.7320776255707762,2198,3.5,1
30422767.0,84370800,1,1,1,1,1,District 17,329,2,Entire home/apt,2,1.0,1.0,199.0,78,1.21,4.97,5.0,4.95,4.97,4.96,4.99,4.94,1.7320776255707762,2944,1.0,1
30439477.0,70321088,1,2,1,1,3,District 6,143,30,Entire home/apt,12,4.0,7.0,329.0,52,0.78,4.92,4.9,4.69,4.98,4.98,4.9,4.77,1.7320776255707762,3018,3.5,0
30464076.0,64913741,0,1,1,1,1,District 15,169,1,Entire home/apt,6,3.0,3.0,149.0,175,2.6,4.97,4.97,4.88,4.98,5.0,4.88,4.89,1.7204337899543378,3054,1.0,1
30483895.0,179245312,1,1,1,1,1,District 16,318,1,Entire home/apt,4,2.0,0.0,,257,3.92,4.86,4.92,4.75,4.98,4.99,4.89,4.87,1.7320776255707762,2335,1.0,1
30500404.0,228902807,1,2,1,1,2,District 5,67,1,Entire home/apt,4,2.0,2.0,134.0,63,0.96,4.81,4.71,4.94,4.98,4.97,4.43,4.76,1.7320776255707762,2075,1.0,1
30507492.0,157014090,1,1,1,1,3,District 1,178,2,Entire home/apt,6,3.0,3.0,235.0,168,2.6,4.96,4.92,4.99,4.99,5.0,4.93,4.94,1.6886986301369864,2472,2.0,1
30513962.0,228992690,1,1,1,1,1,District 16,62,2,Entire home/apt,4,1.0,2.0,89.0,106,1.68,4.92,4.98,4.91,5.0,4.98,4.9,4.92,1.6940639269406392,2074,1.0,1
30532841.0,30787515,1,6,1,1,577,District 15,29,2,Entire home/apt,4,2.0,0.0,,1,0.02,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.7320776255707762,3411,1.0,1
30536057.0,101426897,1,210,1,1,239,District 19,215,2,Entire home/apt,10,3.0,5.0,262.0,161,2.42,4.82,4.91,4.78,4.89,4.94,4.81,4.76,1.7320776255707762,2843,3.0,1
30564045.0,13168890,1,2,1,1,2,District 17,362,2,Entire home/apt,12,3.0,0.0,,57,0.85,4.93,4.96,4.79,4.98,4.89,4.89,4.91,1.7320776255707762,3798,3.5,1
30593043.0,229171323,1,1,1,1,1,District 10,339,2,Entire home/apt,6,2.0,4.0,156.0,177,2.63,4.94,4.92,4.93,4.99,4.95,4.88,4.9,1.6886986301369864,2073,1.0,1
30658935.0,167417432,1,8,1,1,8,District 17,345,2,Entire home/apt,10,3.0,0.0,,176,2.64,4.97,4.98,4.95,4.94,4.97,4.85,4.91,1.7320776255707762,2400,3.5,1
30673584.0,73602055,1,3,1,1,3,District 19,306,2,Entire home/apt,5,1.0,2.0,185.0,186,2.79,4.9,4.95,4.89,4.98,4.98,4.81,4.88,1.7320776255707762,2999,1.0,1
30713885.0,104850762,0,25,1,1,25,District 21,313,2,Entire home/apt,15,4.0,0.0,,100,1.5,4.73,4.69,4.73,4.91,4.89,4.7,4.66,1.7320776255707762,2816,3.5,1
30725834.0,229983558,1,1,1,1,1,District 20,301,1,Entire home/apt,8,4.0,5.0,227.0,31,1.98,4.97,4.9,4.9,4.94,4.94,4.77,4.94,1.7320776255707762,2068,3.0,1
30733432.0,57195797,1,1,1,1,1,District 5,29,4,Entire home/apt,6,2.0,2.0,206.0,199,2.98,5.0,4.98,4.99,4.99,5.0,4.9,4.98,1.7320776255707762,3110,2.5,1
30815522.0,74613311,0,4,1,1,4,District 26,0,2,Entire home/apt,2,1.0,0.0,,172,2.57,4.87,4.94,4.9,4.97,4.92,4.9,4.81,1.6940639269406392,2993,1.0,1
30852265.0,230670302,1,3,1,1,4,District 17,0,3,Entire home/apt,2,1.0,0.0,,115,1.77,4.86,4.87,4.83,4.9,4.96,4.94,4.83,1.7320776255707762,2064,1.0,1
30854396.0,230685521,1,1,1,1,1,District 17,115,2,Private room,2,1.0,1.0,116.0,140,2.15,4.93,4.94,4.93,4.99,4.97,4.92,4.91,1.7320776255707762,2064,1.0,1
30908927.0,30962240,1,17,1,1,19,District 19,268,2,Entire home/apt,12,4.0,0.0,,150,2.25,4.88,4.91,4.92,4.96,4.94,4.99,4.69,1.7320776255707762,3408,4.0,1
30914945.0,69229614,1,2,1,1,3,District 5,83,1,Entire home/apt,8,3.0,4.0,192.0,207,3.11,4.93,4.92,4.83,5.0,4.99,4.83,4.87,1.7320776255707762,3025,2.0,1
30935680.0,224824154,1,3,1,1,3,District 20,110,2,Entire home/apt,4,2.0,2.0,103.0,345,5.17,4.88,4.91,4.92,4.95,4.99,4.75,4.88,1.7320776255707762,2100,1.0,1
30941221.0,69229614,1,2,1,1,3,District 19,0,30,Entire home/apt,8,3.0,0.0,,5,0.14,5.0,5.0,5.0,4.8,5.0,5.0,4.8,1.7320776255707762,3025,2.5,0
30952435.0,231273495,1,5,1,0,31,District 21,242,3,Entire home/apt,12,4.0,9.0,408.0,59,0.92,4.97,4.95,4.86,5.0,5.0,4.36,4.92,1.7320776255707762,2060,3.0,1
30954042.0,3324376,0,33,1,1,94,District 19,334,1,Entire home/apt,4,1.0,2.0,93.0,100,1.5,4.1,4.28,4.45,4.24,4.49,3.8,4.13,1.7320776255707762,4370,1.0,1
30956198.0,3324376,0,33,1,1,94,District 19,364,1,Entire home/apt,6,2.0,3.0,120.0,137,2.04,4.22,4.38,4.32,4.46,4.62,3.72,4.22,1.7320776255707762,4370,1.0,1
30956448.0,3324376,0,33,1,1,94,District 19,353,1,Entire home/apt,6,2.0,3.0,120.0,95,1.42,4.22,4.35,4.42,4.53,4.65,3.71,4.2,1.7320776255707762,4370,1.0,1
30975877.0,225787246,0,1,1,0,1,District 19,347,3,Entire home/apt,9,3.0,0.0,,64,0.97,4.81,4.86,4.7,4.91,4.98,4.66,4.72,1.7320776255707762,2094,2.5,1
31020971.0,231688310,1,1,1,1,1,District 8,169,2,Entire home/apt,2,1.0,1.0,130.0,168,2.53,4.99,5.0,4.99,4.99,4.99,4.92,4.93,1.7320776255707762,2058,1.0,1
31034952.0,4104641,1,1,1,1,2,District 13,332,2,Entire home/apt,8,3.0,9.0,280.0,72,1.11,5.0,4.97,4.96,4.97,4.99,4.85,4.89,1.7204337899543378,4290,2.5,1
31040183.0,30787515,1,6,1,1,577,District 15,0,2,Entire home/apt,6,2.0,0.0,,4,0.06,4.75,5.0,5.0,5.0,4.5,5.0,5.0,1.7320776255707762,3411,2.0,1
31057725.0,120122936,1,3,1,1,3,District 6,254,2,Entire home/apt,4,1.0,2.0,97.0,475,7.12,4.91,4.95,4.87,4.99,4.99,4.93,4.88,1.7320776255707762,2708,1.0,1
31068722.0,126174,0,27,1,1,30,District 5,157,30,Entire home/apt,2,1.0,1.0,106.0,12,0.21,4.83,4.83,4.67,4.33,4.83,4.75,4.5,1.7320776255707762,5198,1.0,0
31077200.0,45101594,1,48,1,1,50,District 17,335,2,Entire home/apt,4,1.0,2.0,150.0,242,3.65,4.97,4.98,4.95,4.93,4.98,5.0,4.88,1.7320776255707762,3240,1.0,1
31101139.0,34410548,1,3,1,1,3,District 15,304,2,Entire home/apt,12,4.0,5.0,457.0,138,2.16,4.85,4.79,4.77,4.95,4.96,4.88,4.86,1.7320776255707762,3360,2.5,1
31113600.0,1515903,1,2,1,1,2,District 6,314,30,Private room,1,1.0,1.0,29.0,7,0.24,4.71,4.86,4.57,5.0,4.71,5.0,4.57,1.7320776255707762,4617,1.0,0
31129664.0,6356415,0,1,1,1,1,District 17,221,30,Entire home/apt,2,1.0,1.0,84.0,33,0.49,4.94,4.94,4.94,4.97,4.91,4.88,4.91,1.7320776255707762,4106,1.0,0
31148304.0,27517344,0,1,1,1,1,District 8,79,30,Entire home/apt,2,2.0,3.0,78.0,0,,,,,,,,,1.7320776255707762,3467,2.0,0
31148397.0,110001973,1,1,1,1,1,District 5,265,3,Entire home/apt,2,1.0,1.0,122.0,79,1.39,4.95,4.95,5.0,4.97,4.99,4.85,4.84,1.7320776255707762,2772,1.0,1
31167145.0,226730789,1,1,1,1,1,District 4,303,2,Entire home/apt,2,1.0,1.0,115.0,155,2.35,4.97,4.98,4.98,4.97,5.0,4.95,4.96,1.6940639269406392,2088,1.0,1
