StudentID,Certification Course,Gender,Department,Weight(LBs),Height(in),11.0th GPA,12th GPA,College GPA,hobbies,"If Other, Please Specify",daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree  ,social media & video,Travelling Time ,Stress Level ,Financial Status,part-time job
167,Yes,Male,Commerce,198.4158,66.92917,3.7,3.7,4,Sports,,30 - 60 minute,Anytime,40000,Yes,75%,1 - 1.30 hour,1.30 - 2 hour,Good,good,No
168,Yes,Male,Commerce,143.3003,66.535469,4,4,4,Cinema,,3 - 4 hour,Anytime,20000,Yes,75%,1.30 - 2 hour,more than 3 hour,Good,good,No
169,Yes,Male,Commerce,130.07258,68.897675,4,2.7,4,Sports,,1 - 2 Hour,Anytime,15000,Yes,50%,1.30 - 2 hour,30 - 60 minutes,Good,good,No
170,Yes,Female,Commerce,92.59404,59.05515,3.3,3.3,4,Sports,,1 - 2 Hour,Anytime,20000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,Fabulous,No
171,Yes,Male,Commerce,132.2772,70.078778,3.3,2.7,2.7,Sports,,2 - 3 hour,Morning,25000,Yes,50%,1 - 30 Minute,30 - 60 minutes,Good,Bad,Yes
172,Yes,Female,Commerce,88.1848,61.811057,4,4,4,Cinema,,30 - 60 minute,Morning,15000,Yes,50%,More than 2 hour,30 - 60 minutes,Good,Bad,No
173,No,Female,Commerce,88.1848,62.99216,3.7,2.7,3.3,Sports,,30 - 60 minute,Night,15000,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Good,good,Yes
174,Yes,Prefer Not to Respond,Commerce,176.3696,62.598459,2.7,3.7,2,Cinema,,30 - 60 minute,Morning,25000,Yes,0%,More than 2 hour,1.30 - 2 hour,Good,Bad,No
175,No,Male,Commerce,125.66334,71.653582,4,3.7,4,Sports,,30 - 60 minute,Night,11000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No
176,No,Female,Commerce,119.04948,59.05515,3.7,3.7,4,Sports,,3 - 4 hour,Anytime,25000,Yes,100%,1 - 1.30 hour,30 - 60 minutes,Good,Bad,No
177,Yes,Female,Commerce,136.68644,60.629954,3.3,2,2.7,Cinema,,1 - 2 Hour,Night,20000,Yes,50%,1 - 1.30 hour,30 - 60 minutes,Bad,Bad,No
178,Yes,Female,Commerce,165.3465,64.960665,4,3.3,4,Cinema,,1 - 2 Hour,Anytime,10000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,Awful,No
179,Yes,Female,Commerce,88.1848,59.05515,4,3.7,3.3,Cinema,,1 - 2 Hour,Morning,120000,Yes,50%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
180,Yes,Female,B.com ISM,110.231,58.661449,2.7,2.7,2.7,Cinema,,30 - 60 minute,Morning,15000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,Bad,No
181,No,Male,B.com ISM,105.82176,59.05515,2.7,3.7,2,Video Games,,30 - 60 minute,Night,45000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,Yes
182,No,Female,B.com ISM,110.231,62.99216,2.7,3.3,3,Sports,,0 - 30 minute,Night,5000,Yes,25%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
183,Yes,Male,B.com ISM,202.82504,68.110273,2,3,1,Cinema,,0 - 30 minute,Anytime,23000,Yes,100%,More than 2 hour,1 - 1.30 hour,Good,good,No
184,No,Male,B.com ISM,105.82176,59.05515,1,1,2.7,Sports,,1 - 2 Hour,Anytime,30000,Yes,50%,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,No
185,Yes,Male,B.com ISM,176.3696,64.173263,3.7,1,1,Cinema,,0 - 30 minute,Morning,500000,Yes,50%,1 - 30 Minute,0 - 30 minutes,Awful,Awful,No
186,Yes,Male,B.com ISM,105.82176,66.141768,3.3,2.7,2,Sports,,30 - 60 minute,Morning,40000,Yes,75%,1 - 30 Minute,more than 3 hour,Bad,Bad,No
187,Yes,Male,B.com ISM,187.3927,63.779562,2.3,2.3,3,Sports,,30 - 60 minute,Night,30000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,No
188,Yes,Male,B.com ISM,176.3696,66.92917,3,3.3,2.7,Sports,,More Than 4 hour,Anytime,700000,Yes,100%,1 - 30 Minute,0 - 30 minutes,Good,good,No
189,No,Male,B.com ISM,110.231,57.086645,3.7,3.7,3.3,Reading books,,1 - 2 Hour,Morning,12000,Yes,50%,1 - 30 Minute,0 - 30 minutes,Good,Awful,No
190,No,Male,B.com ISM,114.64024,62.99216,3,3.3,3,Video Games,,30 - 60 minute,Night,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
191,No,Male,B.com ISM,143.3003,70.86618,4,4,4,Video Games,,30 - 60 minute,Anytime,20000,Yes,50%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
